Trimestre;Sentido transacción;Zona geográfica;Evolución trimestral del volumen de negocio (€)
2021T4;Desde el exterior con España;América Latina;139971072,5
2021T4;Desde el exterior con España;Asia Pacífico;63519563,33
2021T4;Desde el exterior con España;C.E.M.E.A.;134844988,15
2021T4;Desde el exterior con España;Estados Unidos;114945088,29
2021T4;Desde el exterior con España;Reino Unido;153415836,97
2021T4;Desde el exterior con España;Resto;21609750,24
2021T4;Desde el exterior con España;Unión Europea;927268570,02
2021T4;Desde España con el exterior;América Latina;23812299,7
2021T4;Desde España con el exterior;Asia Pacífico;62424344,35
2021T4;Desde España con el exterior;C.E.M.E.A.;290902176,24
2021T4;Desde España con el exterior;Estados Unidos;127216715,95
2021T4;Desde España con el exterior;Reino Unido;488298921,7
2021T4;Desde España con el exterior;Resto;27150229,79
2021T4;Desde España con el exterior;Unión Europea;9136671871,47
2022T1;Dentro de España;Dentro de España;4829782433,81
2022T1;Desde el exterior con España;América Latina;146703541,08
2022T1;Desde el exterior con España;Asia Pacífico;78336525,73
2022T1;Desde el exterior con España;C.E.M.E.A.;153823379,16
2022T1;Desde el exterior con España;Estados Unidos;114943883,5
2022T1;Desde el exterior con España;Reino Unido;150913024,69
2022T1;Desde el exterior con España;Resto;23025052,04
2022T1;Desde el exterior con España;Unión Europea;1102105728,39
2022T1;Desde España con el exterior;América Latina;27931298,48
2022T1;Desde España con el exterior;Asia Pacífico;51092756,25
2022T1;Desde España con el exterior;C.E.M.E.A.;222902701,76
2022T1;Desde España con el exterior;Estados Unidos;131535923,25
2022T1;Desde España con el exterior;Reino Unido;357875616,59
2022T1;Desde España con el exterior;Resto;32854865,7
2022T1;Desde España con el exterior;Unión Europea;8203341410,16
2022T2;Dentro de España;Dentro de España;5868675919,11
2022T2;Desde el exterior con España;América Latina;196642904,59
2022T2;Desde el exterior con España;Asia Pacífico;130489648,24
2022T2;Desde el exterior con España;C.E.M.E.A.;222826055,11
2022T2;Desde el exterior con España;Estados Unidos;202729245,16
2022T2;Desde el exterior con España;Reino Unido;221973484,48
2022T2;Desde el exterior con España;Resto;44913867,71
2022T2;Desde el exterior con España;Unión Europea;1618188449,01
2022T2;Desde España con el exterior;América Latina;28696461,1
2022T2;Desde España con el exterior;Asia Pacífico;52776231,13
2022T2;Desde España con el exterior;C.E.M.E.A.;113397107,85
2022T2;Desde España con el exterior;Estados Unidos;149071797,21
2022T2;Desde España con el exterior;Reino Unido;377687995,91
2022T2;Desde España con el exterior;Resto;28308357,52
2022T2;Desde España con el exterior;Unión Europea;8933360670,19
2022T3;Dentro de España;Dentro de España;6212777520,02
2022T3;Desde el exterior con España;América Latina;205716560,01
2022T3;Desde el exterior con España;Asia Pacífico;133678000,08
2022T3;Desde el exterior con España;C.E.M.E.A.;240391580,45
2022T3;Desde el exterior con España;Estados Unidos;193339422,47
2022T3;Desde el exterior con España;Reino Unido;233879780,6
2022T3;Desde el exterior con España;Resto;47652776,08
2022T3;Desde el exterior con España;Unión Europea;1601918236,24
2022T3;Desde España con el exterior;América Latina;25510456,68
2022T3;Desde España con el exterior;Asia Pacífico;64814336,1
2022T3;Desde España con el exterior;C.E.M.E.A.;110758576,97
2022T3;Desde España con el exterior;Estados Unidos;160877486,8
2022T3;Desde España con el exterior;Reino Unido;354664115,14
